"BUSCO_ID","Cluster","Description","Atru","Bbom","Dpic","Hboe","Xbor","Xlae","Xtro","Sbom","Lail","Llei","Pcul","Gcar","Pads","Lsyl","Rimi","Rkuk","Rmus","Rtem","Mfle","Pcor","Ecoq","Epus","Lfus","Bbuf","Bgar","Bvir","Debr","Hsar","Ptri"
"100073at32523","2786","TNF receptor-associated factor 6","D","D+E","D","D+E","D+E, scaf","D+E, D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","scaf","D+K","D","D","D","D+E","D+E","D+E"
"100078at32523","569","beta,beta-carotene 15,15'-monooxygenase","D","D+J+K+L+M","D","J+K+M, scaf","D+E","D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","missing","D+K","D+K","D","D","D","D+E","D+E","D+E"
"100088at32523","326","SH3 domain GRB2 like endophilin interacting protein 1","E","E","E","D+E","D+E, D+E","D+E, D+E","D+E","E","E","E","E","E+H+J","E","E","E","E","E","E","E","E","E+F","scaf","E","E","E","scaf","E+H","E+H","E+H"
"100098at32523","4944","SH3 domain-binding protein 1","missing","D+E","E+I","D+E","D+E, D+E","D+E, D+E","D+E","E","E","E","E","E+H+J","E","E","missing","E","E","E","E","E","E+F","missing","E","E","missing","E","D+E","D+E","D+E"
"1000at32523","820","dynein heavy chain 10, axonemal","A","A","A","A","A","A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"100144at32523","4442","pentatricopeptide repeat-containing protein 1, mitochondrial","L","scaf","L","L","L+M","L+M","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","missing","L","L","L","L","L","L","L"
"100151at32523","3971","run domain Beclin-1 interacting and cysteine-rich containing protein","B","F","F","F","F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"100155at32523","3177","Chromosome 15 open reading frame 39","scaf","C","C","C","C, C","C, C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"100306at32523","2904","threonylcarbamoyladenosine tRNA methylthiotransferase","G","missing","G","G","G","G","G","G","G","G","G","G","G","G","G","G","missing","G","G","missing","G","G","G","G","G","G","G","G","G"
"100325at32523","4116","kelch-like protein 40","scaf","G","G","scaf","G, G","G, G","G","G","missing","G","G","G","G","G, G","G","G","G","G","G","G","G","L","G","G","G","G","G","G","G"
"10041at32523","1335","sodium leak channel non-selective protein","B","B","B","B","B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","missing","B+F","B","B","B","B","B","B","B","B"
"100516at32523","4192","FACT complex subunit SSRP1","missing","H","H","H+I","H+I","H+I","H+I","H","H","H","H","E+H+J","H","H","H+J+M","H","H","H","H+M","H+M","M","H","H","H+M","H+M","H+M","E+H","scaf","E+H"
"100560at32523","921","Protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)","G","G","G","G, J+K+M","G, G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","scaf","G","E+H","G"
